ZIP,activeplayersperzip,AREA,POPcurrent,POPplus5,#OFBUSS,POPSQMI,DAYPOP,URBANPCT,RURALPCT,WHITECOLLAR,18-24%,25-34%,35-44%,45-54%,55-64%,65+%,INCOMEMED,MALEPOP,FEMALEPOP
90016,2413,Los Angeles,47138,50583,1238,13297,13429,1,0,0.55,0.1,0.15,0.15,0.12,0.08,0.1,35804,22172,24966
90018,2228,Los Angeles,51738,55456,1014,17286,8929,1,0,0.48,0.1,0.15,0.15,0.11,0.07,0.1,30187,24692,27046
90020,1761,Los Angeles,45115,48325,1190,40174,10048,1,0,0.57,0.11,0.24,0.17,0.12,0.07,0.07,29914,22662,22453
90041,1539,Los Angeles,30080,31590,1012,8400,9299,1,0,0.69,0.12,0.14,0.15,0.14,0.09,0.12,65068,14538,15542
90043,3068,Los Angeles,46716,48455,1113,11284,7458,1,0,0.62,0.09,0.13,0.15,0.13,0.1,0.12,42691,21607,25109
90045,2038,Los Angeles,42658,44910,3151,3801,53803,1,0,0.77,0.13,0.16,0.17,0.14,0.09,0.12,80150,20426,22232
90064,1034,Los Angeles,24208,24716,2474,6281,31740,1,0,0.82,0.08,0.17,0.16,0.15,0.1,0.16,92992,11772,12436
90066,2272,Los Angeles,56157,58465,1659,10548,18446,1,0,0.72,0.09,0.21,0.17,0.14,0.09,0.12,63991,28035,28122
90068,915,Los Angeles,23891,26086,676,2997,6046,1,0,0.84,0.05,0.25,0.22,0.16,0.1,0.11,101314,13122,10769
90089,13,Los Angeles,217,190,59,2782,13327,0,0,0.82,0.93,0.04,0,0,0,0,0,96,121
90254,795,Hermosa Beach,19857,21279,1131,13417,8519,1,0,0.86,0.05,0.34,0.2,0.13,0.08,0.07,133588,10531,9326
90275,1396,Rancho Palos Ve,42729,44684,768,3157,9865,1,0,0.87,0.06,0.06,0.15,0.17,0.15,0.19,115314,20704,22025
90277,1727,Redondo Beach,35169,36787,2134,9721,15642,1,0,0.82,0.05,0.2,0.21,0.17,0.1,0.12,102152,17673,17496
90302,1924,Inglewood,30899,31676,832,16775,7087,1,0,0.6,0.1,0.17,0.16,0.12,0.07,0.06,37281,14467,16432
90603,1240,Whittier,19174,19424,610,5691,5648,1,0,0.71,0.07,0.1,0.16,0.14,0.09,0.18,76801,9187,9987
90605,2261,Whittier,38593,40206,940,7289,9688,1,0,0.54,0.1,0.15,0.15,0.12,0.07,0.09,61029,19287,19306
90630,2842,Cypress,47774,49030,1650,7734,22791,1,0,0.71,0.08,0.12,0.17,0.15,0.11,0.11,79289,23290,24484
90701,906,Artesia,17001,17809,790,10078,5635,1,0,0.56,0.1,0.14,0.15,0.13,0.09,0.12,53571,8531,8470
90720,1076,Los Alamitos,23450,25531,1748,3824,17822,1,0,0.76,0.07,0.09,0.17,0.15,0.1,0.17,86954,11272,12178
90743,14,Surfside,453,482,9,4314,76,1,0,0.73,0.06,0.14,0.18,0.18,0.16,0.08,86413,243,210
90745,3734,Carson,58895,62921,1384,6287,19613,1,0,0.57,0.1,0.14,0.15,0.13,0.1,0.11,60887,28741,30154
90747,3,Carson,758,807,6,1265,111,1,0,0.66,0.19,0.09,0.12,0.13,0.13,0.13,63176,334,424
90814,1126,Long Beach,19244,20420,330,14546,2027,1,0,0.76,0.1,0.23,0.19,0.14,0.08,0.09,59699,9401,9843
91006,1348,Arcadia,30716,31560,1892,4778,18687,1,0,0.8,0.07,0.1,0.16,0.17,0.11,0.14,72594,14725,15991
91123,1,Pasadena,34,37,3,576,123,1,0,0.93,0.03,0.09,0.09,0.18,0.15,0.35,151667,17,17
91307,1350,West Hills,23975,24441,844,1689,7835,0.95,0.05,0.79,0.06,0.09,0.18,0.16,0.11,0.14,91670,11772,12203
91311,2475,Chatsworth,36201,37254,3314,1157,46193,0.99,0.01,0.76,0.07,0.12,0.17,0.17,0.12,0.13,77771,17664,18537
